Site ID;Sample ID;Startdate;Enddate;Start;End;Trapping Days;Latitude;Longitude;County;Barcodes;Entire sample sequenced;Time period;Horticultural region;Avg. annual temperature;Avg. annual precipitation
30;M30010;29/09/2018;02/07/2019;29/09/2018;02/07/2019;276;68.111431;23.330286;Norrbotten;187;N;Offseason;VIII (light blue);-2;500-600
31;M31001;03/06/2018;03/07/2018;03/06/2018;03/07/2018;30;68.354782;18.822478;Norrbotten;503;N;Midsummer;Fjällregion (white);0-2;300-400
31;M31005;29/07/2018;07/08/2018;29/07/2018;07/08/2018;9;68.354782;18.822478;Norrbotten;187;N;Late Summer;Fjällregion (white);0-2;300-400
31;M31013;04/10/2018;27/05/2019;04/10/2018;27/05/2019;235;68.354782;18.822478;Norrbotten;186;N;Offseason;Fjällregion (white);0-2;300-400
32;M32001;03/06/2018;03/07/2018;03/06/2018;03/07/2018;30;68.355154;18.826526;Norrbotten;531;N;Midsummer;Fjällregion (white);0-2;300-400
32;M32005;29/07/2018;07/08/2018;29/07/2018;07/08/2018;9;68.355154;18.826526;Norrbotten;178;N;Late Summer;Fjällregion (white);0-2;300-400
32;M32013;04/10/2018;27/05/2019;04/10/2018;27/05/2019;235;68.355154;18.826526;Norrbotten;189;N;Offseason;Fjällregion (white);0-2;300-400
33;M33001;03/06/2018;03/07/2018;03/06/2018;03/07/2018;30;68.363449;18.763011;Norrbotten;523;N;Midsummer;Fjällregion (white);0-2;300-400
33;M33005;29/07/2018;07/08/2018;29/07/2018;07/08/2018;9;68.363449;18.763011;Norrbotten;183;N;Late Summer;Fjällregion (white);0-2;300-400
33;M33013;04/10/2018;27/05/2019;04/10/2018;27/05/2019;235;68.363449;18.763011;Norrbotten;187;N;Offseason;Fjällregion (white);0-2;300-400
34;M34001;03/06/2018;03/07/2018;03/06/2018;03/07/2018;30;68.354409;18.827631;Norrbotten;542;N;Midsummer;Fjällregion (white);0-2;300-400
34;M34005;29/07/2018;07/08/2018;29/07/2018;07/08/2018;9;68.354409;18.827631;Norrbotten;180;N;Late Summer;Fjällregion (white);0-2;300-400
34;M34013;04/10/2018;28/05/2019;04/10/2018;28/05/2019;236;68.354409;18.827631;Norrbotten;187;N;Offseason;Fjällregion (white);0-2;300-400
35;M35001;03/06/2018;03/07/2018;03/06/2018;03/07/2018;30;68.361011;18.736851;Norrbotten;554;N;Midsummer;Fjällregion (white);0-2;300-400
35;M35005;29/07/2018;07/08/2018;29/07/2018;07/08/2018;9;68.361011;18.736851;Norrbotten;176;N;Late Summer;Fjällregion (white);0-2;300-400
35;M35013;04/10/2018;16/06/2019;04/10/2018;16/06/2019;255;68.361011;18.736851;Norrbotten;188;N;Offseason;Fjällregion (white);0-2;300-400
38;M38001;01/06/2018;15/06/2018;01/06/2018;15/06/2018;14;65.957289;16.205235;Västerbotten;525;N;Late Spring;VIII (light blue);0-2;600-700
38;M38002;15/06/2018;02/07/2018;15/06/2018;02/07/2018;17;65.957289;16.205235;Västerbotten;142;N;Midsummer;VIII (light blue);0-2;600-700
38;M38004;22/07/2018;17/08/2018;22/07/2018;17/08/2018;26;65.957289;16.205235;Västerbotten;183;N;Late Summer;VIII (light blue);0-2;600-700
38;M38008;19/10/2018;09/11/2018;19/10/2018;09/11/2018;21;65.957289;16.205235;Västerbotten;6;Y;Offseason;VIII (light blue);0-2;600-700
