	LateSpring	Midsummer	LateSummer	Offseason
sp277	1	0	2	1
sp278	2	0	0	0
sp279	0	3	100	0
sp280	1	1	0	0
sp281	0	1	0	0
sp282	0	0	0	0
sp283	19	0	0	0
sp284	1	4	0	0
sp285	0	5	20	0
sp286	0	1	1	0
sp287	0	0	2	0
sp288	9	0	0	0
sp289	0	0	7	1
sp290	5	4	0	0
sp291	12	2	4	0
sp292	0	0	0	0
sp293	0	1	0	0
sp294	16	2	3	0
sp295	2	15	6	7
sp296	0	0	0	0
sp297	0	0	1	0
sp298	0	0	0	0
sp299	0	0	0	0
sp300	0	0	0	2
sp301	1	3	0	0
sp302	0	0	0	0
sp303	0	0	3	1
sp304	0	0	0	0
sp305	0	0	0	0
sp306	9	13	15	2
sp307	0	0	0	1
sp308	0	12	0	0
sp309	1	0	0	0
sp310	1	0	0	0
sp311	0	1	0	0
sp312	0	0	2	3
sp313	0	1	1	1
sp314	0	0	2	1
sp315	11	2	0	0
sp316	0	1	0	0
sp317	17	0	0	0
sp318	0	0	0	0
sp319	0	4	11	0
sp320	2	2	0	0
sp321	0	0	0	0
sp322	0	0	1	0
sp323	1	0	1	0
sp324	0	7	6	1
sp325	7	0	0	0
sp326	0	0	1	0
sp327	3	0	0	0
sp328	4	0	0	0
sp329	0	0	2	0
sp330	2	0	0	0
sp331	37	15	5	0
sp332	0	0	5	0
sp333	0	0	0	0
sp334	0	0	1	0
sp335	6	0	0	0
sp336	0	0	0	0
sp337	0	0	0	0
sp338	0	0	0	0
sp339	0	0	0	0
sp340	1	0	0	0
sp341	3	1	0	0
sp342	15	9	16	1
sp343	0	1	5	0
sp344	0	0	2	0
sp345	24	5	0	0
sp346	3	5	2	2
sp347	1	1	0	0
sp348	13	0	0	0
sp349	0	0	8	0
sp350	4	0	0	0
sp351	0	0	0	1
sp352	0	0	0	0
sp353	0	0	0	0
sp354	0	0	0	0
sp355	2	0	0	0
sp356	0	0	0	0
sp357	0	0	0	0
sp358	0	1	2	0
sp359	2	0	0	0
sp360	2	5	0	0
sp361	0	1	0	0
sp362	4	1	6	0
sp363	0	1	1	0
sp364	0	0	0	0
sp365	4	0	2	2
sp366	0	2	5	0
sp367	0	0	1	0
sp368	0	0	0	0
sp369	2	0	0	0
sp370	0	0	1	0
sp371	11	0	0	0
sp372	0	3	0	0
sp373	1	1	0	0
sp374	1	1	0	0
sp375	0	2	3	0
sp376	0	1	7	0
sp377	0	1	1	0
sp378	11	0	0	0
sp379	0	0	0	0
sp380	0	2	0	0
sp381	0	1	0	0
sp382	0	1	0	0
sp383	0	0	1	0
sp384	0	1	2	0
sp385	1	1	4	0
sp386	0	0	1	0
sp387	0	0	0	0
sp388	14	7	3	0
sp389	356	86	130	139
sp390	64	28	70	13
sp391	17	7	0	4
sp392	0	53	1	0
sp393	7	1	0	0
sp394	0	2	1	0
sp395	178	69	69	1
sp396	28	2	2	0
sp397	41	16	17	0
sp398	12	6	88	24
sp399	2	3	7	1
sp400	236	17	44	2
sp401	57	17	13	3
sp402	0	0	2	0
sp403	44	7	23	7
sp404	0	4	2	0
sp405	11	4	2	1
sp406	13	0	0	0
sp407	0	17	5	0
sp408	17	0	0	0
sp409	3	5	2	0
sp410	35	0	0	0
sp411	1	0	0	0
sp412	5	10	12	30
sp413	0	0	0	0
sp414	0	0	0	0
sp415	0	0	38	0
sp416	4	4	0	0
sp417	0	0	0	22
sp418	82	13	17	0
sp419	0	0	3	1
sp420	45	3	3	4
sp421	0	0	0	0
sp422	0	0	0	0
sp423	10	8	11	1
sp424	0	10	0	0
sp425	72	4	11	4
sp426	43	11	15	0
sp427	24	6	16	2
sp428	0	2	1	2
sp429	0	0	2	2
sp430	0	1	0	0
sp431	356	6	0	0
sp432	5	12	3	6
sp433	5	0	0	0
sp434	4	3	0	2
sp435	0	4	0	0
sp436	21	2	4	0
sp437	28	13	8	0
sp438	52	14	1	0
sp439	0	1	1	0
sp440	20	3	1	0
sp441	0	42	0	0
sp442	0	0	6	0
sp443	18	0	0	2
sp444	15	10	11	0
sp445	1	0	0	0
sp446	0	0	0	1
sp447	0	0	0	0
sp448	162	3	1	0
sp449	4	8	46	3
sp450	27	0	0	0
sp451	10	10	0	0
sp452	3	0	0	0
sp453	0	0	0	0
sp454	1	9	2	0
sp455	5	2	3	0
sp456	0	3	0	0
sp457	1	0	0	0
sp458	14	5	1	0
sp459	5	7	7	1
sp460	1	0	0	0
sp461	5	0	0	0
sp462	0	2	0	0
sp463	0	0	4	0
sp464	0	0	0	0
sp465	0	1	54	0
sp466	0	12	3	0
sp467	9	0	1	1
sp468	75	2	8	9
sp469	16	1	1	0
sp470	105	5	2	0
sp471	32	1	0	0
sp472	0	10	5	0
sp473	3	5	1	3
sp474	11	1	0	0
sp475	20	16	4	0
sp476	1	7	9	8
sp477	0	0	0	9
sp478	3	2	13	0
sp479	18	8	1	1
sp480	17	10	16	0
sp481	0	0	0	0
sp482	20	3	0	0
sp483	1	9	0	0
sp484	0	0	3	0
sp485	8	1	1	1
sp486	5	8	1	9
sp487	3	1	0	0
sp488	0	0	4	0
sp489	2	1	0	0
sp490	0	1	2	0
sp491	7	4	3	0
sp492	103	11	2	12
sp493	42	12	34	2
sp494	240	18	6	28
sp495	0	0	6	0
sp496	44	27	0	0
sp497	29	6	7	0
sp498	36	10	5	2
sp499	0	0	0	0
sp500	18	0	0	0
sp501	0	0	0	9
sp502	26	3	0	0
sp503	89	18	4	0
sp504	2	17	24	1
sp505	188	7	3	9
sp506	1	0	0	0
sp507	1	0	0	2
sp508	0	5	1	0
sp509	6	1	2	0
sp510	29	0	1	0
sp511	0	0	0	0
sp512	0	6	0	0
sp513	1	8	0	0
sp514	0	2	0	0
sp515	0	1	88	0
sp516	16	11	12	0
sp517	8	5	90	11
sp518	5	1	1	2
sp519	11	0	0	0
sp520	0	3	0	0
sp521	2	4	0	0
sp522	3	0	0	0
sp523	1	2	0	1
sp524	1	1	0	2
sp525	0	1	11	0
sp526	7	3	0	0
sp527	13	2	1	0
sp528	0	0	1	0
sp529	3	23	1	5
sp530	3	1	0	0
sp531	0	0	0	8
sp532	86	9	0	0
sp533	0	3	0	1
sp534	0	2	1	0
sp535	11	0	1	0
sp536	0	13	8	0
sp537	64	13	0	0
sp538	16	14	3	0
sp539	25	0	0	0
sp540	0	0	7	0
sp541	1	1	0	0
sp542	0	0	0	0
sp543	0	0	7	0
sp544	1	5	2	0
sp545	18	0	0	0
sp546	0	0	0	0
sp547	0	4	0	0
sp548	0	1	0	0
sp549	0	3	3	0
