	Region1	Region2	Region3	Region4	Region5	Region6	Region7	Region8	Fjallregion
sp100	167	12	11	2	4	4	2	0	0
sp101	13	0	2	0	0	0	0	0	0
sp102	60	9	0	0	0	0	1	3	0
sp103	0	0	0	1	47	13	3	7	1
sp104	17	0	0	0	0	0	0	0	0
sp105	16	1	1	0	0	0	0	0	0
sp106	100	16	6	6	9	18	4	14	3
sp107	6	0	0	0	0	0	0	0	0
sp108	2	0	2	0	1	11	1	5	15
sp109	10	11	0	0	0	0	0	0	0
sp110	0	0	0	1	0	8	1	5	1
sp111	1	1	1	0	2	12	5	164	594
sp112	1	0	0	0	3	1	0	3	0
sp113	26	125	0	0	0	2	0	0	0
sp114	0	2	0	0	0	0	0	0	0
sp115	0	0	0	1	0	4	1	0	0
sp116	0	0	0	0	1	1	0	1	26
sp117	76	11	2	3	4	2	0	1	0
sp118	1	2	0	0	23	6	0	0	0
sp119	1	0	0	0	0	3	1	0	0
sp120	5	0	0	0	0	0	0	0	0
sp121	1	8	0	0	0	3	0	0	0
sp122	0	0	0	0	0	0	0	0	3
sp123	0	6	9	0	0	0	0	0	0
sp124	2	1	2	0	3	12	0	18	1
sp125	1	0	0	0	1	2	1	4	0
sp126	0	2	0	0	2	7	0	10	29
sp127	1	0	0	4	0	0	0	0	0
sp128	0	0	0	0	0	2	0	7	7
sp129	184	6	10	2	17	18	6	15	0
sp130	99	4	12	2	35	13	1	20	0
sp131	12	1	1	0	1	6	0	0	0
sp132	14	0	0	0	2	10	0	4	0
sp133	1	21	1	0	0	0	0	0	0
sp134	8	0	0	0	0	0	0	0	0
sp135	5	0	0	0	0	0	0	0	0
sp136	36	36	28	0	1	1	1	0	0
sp137	3	1	0	0	0	0	1	2	0
sp138	68	0	0	0	0	0	0	0	0
sp139	0	0	0	4	4	5	3	6	1
sp140	0	0	0	0	0	1	0	0	0
sp141	6	2	0	0	0	0	0	0	0
sp142	11	0	0	2	2	0	0	9	1
sp143	16	3	17	9	1	0	3	0	0
sp144	4	0	0	1	1	0	0	0	0
sp145	10	0	0	4	3	6	0	1	5
sp146	18	62	84	3	0	12	0	0	0
sp147	4	0	4	0	0	3	0	0	1
sp148	5	0	0	0	0	0	0	0	0
sp149	0	0	0	0	0	0	0	0	2
sp150	1	0	0	0	0	0	0	0	0
sp151	2	0	0	0	0	2	0	0	0
sp152	0	0	0	0	0	0	0	0	9
sp153	46	0	1	1	0	1	2	2	0
sp154	0	0	0	1	0	0	2	0	0
sp155	22	4	2	0	7	7	1	0	0
sp156	1	1	1	2	2	31	10	26	10
sp157	30	4	3	3	13	22	4	11	7
sp158	1	2	8	1	24	38	7	95	54
sp159	13	0	0	0	0	0	0	0	0
sp160	0	0	0	0	0	1	0	54	1
sp161	0	0	0	0	2	12	0	4	30
sp162	2	2	2	0	2	5	2	2	0
sp163	18	0	1	0	0	0	0	0	0
sp164	0	1	0	0	0	4	0	0	0
sp165	14	1	0	0	0	0	0	2	0
sp166	4	0	0	0	0	0	0	0	0
sp167	0	0	0	0	0	0	0	1	1
sp168	0	1	0	0	88	23	0	0	0
sp169	0	0	0	0	0	1	0	3	0
sp170	0	0	0	0	0	0	2	1	0
sp171	0	11	0	0	0	0	0	1	0
sp172	5	0	0	0	0	0	0	0	0
sp173	0	0	0	0	0	0	0	0	3
sp174	0	0	0	0	0	0	0	0	3
sp175	0	0	5	0	1	2	1	0	0
sp176	0	0	0	0	0	0	0	13	12
sp177	46	43	35	25	10	34	12	8	7
sp178	1	0	0	0	0	0	0	0	0
sp179	2	1	0	0	0	0	0	0	0
sp180	0	0	0	0	0	1	0	1	0
sp181	53	7	3	0	0	5	0	7	1
sp182	49	94	2	0	0	0	0	0	0
sp183	11	1	0	1	2	10	0	2	0
sp184	152	23	4	0	1	1	2	8	6
sp185	7	0	0	0	1	0	5	1	0
sp186	144	75	62	127	13	125	24	1	0
sp187	104	23	29	25	18	40	0	5	0
sp188	41	90	5	4	3	9	6	4	1
sp189	6	0	0	0	3	3	1	2	0
sp190	283	0	6	0	0	0	0	0	0
sp191	0	0	0	0	0	1	0	3	0
sp192	1	1	0	1	0	1	0	0	0
sp193	1	1	1	0	1	1	0	0	0
sp194	50	71	215	0	0	0	0	0	0
sp195	2	0	1	3	2	2	0	0	0
sp196	18	5	2	0	2	2	0	1	2
sp197	0	0	0	0	0	3	0	0	2
sp198	17	0	1	0	0	0	0	0	0
sp199	0	0	0	0	1	7	0	0	0
sp200	90	0	0	0	0	2	0	0	0
sp201	10	2	0	0	0	5	1	0	1
sp202	0	0	0	2	0	0	2	0	0
sp203	0	3	0	0	0	0	0	0	0
sp204	61	11	6	3	18	1	11	20	0
sp205	845	804	335	77	144	762	77	709	341
sp206	2	1	0	1	1	3	4	3	0
sp207	156	18	22	0	7	1	0	3	0
sp208	10	0	1	0	0	0	0	0	0
sp209	68	26	11	1	66	14	14	8	4
sp210	1	2	0	1	0	9	1	3	3
sp211	0	1	0	0	0	0	0	0	0
sp212	21	1	0	0	69	13	2	3	0
sp213	27	0	2	1	0	1	0	6	0
sp214	58	42	33	6	1	4	0	0	0
sp215	66	57	3	54	208	483	130	915	2124
sp216	0	0	0	0	0	1	0	0	0
sp217	0	0	2	0	0	0	0	0	0
sp218	0	0	0	0	0	0	0	1	0
sp219	1	0	0	1	0	0	0	0	0
sp220	0	0	0	0	1	0	0	0	0
sp221	1	0	0	0	0	0	0	0	0
sp222	0	0	0	0	0	0	1	0	0
sp223	0	0	0	0	0	3	0	0	0
sp224	0	3	0	0	0	0	0	0	0
sp225	0	0	0	0	0	0	0	0	9
sp226	0	0	0	0	1	0	0	0	0
sp227	0	0	0	0	1	0	0	0	0
sp228	0	0	0	0	0	0	0	1	0
sp229	0	0	0	0	0	1	0	0	0
sp230	0	1	0	0	0	0	0	0	1
sp231	0	0	0	0	2	0	0	0	0
sp232	1	0	0	0	0	0	0	0	0
sp233	0	0	0	0	0	1	0	0	0
sp234	1	0	0	0	0	0	0	0	0
sp235	0	0	0	0	1	0	0	0	0
sp236	0	0	0	0	0	0	0	0	4
sp237	2	0	0	0	0	0	0	0	0
sp238	1	0	0	0	0	0	0	0	0
sp239	0	0	0	0	0	1	0	0	0
sp240	0	0	0	0	2	0	0	1	0
sp241	0	0	0	0	1	0	0	0	0
sp242	1	0	0	0	0	0	0	0	0
sp243	1	1	0	0	0	0	0	0	1
sp244	0	2	2	0	0	0	0	0	0
sp245	1	0	0	0	0	0	0	0	0
sp246	0	0	0	0	1	0	0	0	0
sp247	0	0	0	0	0	0	0	1	0
sp248	0	0	0	0	0	2	0	0	0
sp249	0	0	0	0	2	2	0	0	0
sp250	0	0	0	0	0	1	0	0	0
sp251	0	0	0	0	0	0	0	1	0
sp252	1	0	0	0	0	0	0	0	0
sp253	1	0	0	0	0	0	0	0	0
sp254	1	0	0	0	0	0	0	0	0
sp255	1	0	0	0	0	0	0	0	0
sp256	0	0	0	0	0	2	0	0	0
sp257	0	0	0	0	0	1	0	0	0
sp258	1	0	0	0	0	0	0	0	0
sp259	0	0	0	0	0	1	0	0	0
sp260	0	0	0	0	0	1	0	0	0
sp261	102	0	0	0	0	0	0	0	0
sp262	1	0	0	0	0	0	0	0	0
sp263	0	0	0	0	1	0	0	0	0
sp264	2	5	5	0	0	0	0	0	0
sp265	0	0	0	0	0	1	0	1	1
sp266	0	0	0	0	0	1	0	0	0
sp267	1	0	0	0	0	0	0	0	0
sp268	13	0	0	0	0	1	0	0	1
sp269	5	0	0	0	0	0	0	0	0
sp270	0	0	0	1	0	0	0	0	0
sp271	0	0	0	0	1	0	0	0	0
sp272	185	0	0	0	0	0	0	0	0
sp273	4	1	2	2	1	5	0	3	0
sp274	2	1	0	0	0	0	0	0	0
sp275	1	0	0	0	0	0	0	0	0
sp276	0	0	0	0	0	0	0	1	0
sp277	3	0	1	0	0	0	0	0	0
sp278	0	0	2	0	0	0	0	0	0
sp279	101	0	0	0	2	0	0	0	0
sp280	0	0	2	0	0	0	0	0	0
sp281	0	1	0	0	0	0	0	0	0
sp282	0	0	0	0	0	0	0	0	1
sp283	0	1	0	2	0	8	10	0	1
sp284	1	1	0	0	1	3	0	2	0
sp285	11	1	2	0	3	8	0	1	0
sp286	2	0	0	0	0	0	0	0	0
sp287	2	0	0	0	0	0	0	0	0
sp288	1	8	0	0	0	0	0	0	0
sp289	0	0	0	5	3	0	0	0	0
sp290	9	0	0	0	0	0	0	0	0
sp291	13	0	0	0	2	2	1	0	0
sp292	0	0	0	0	0	1	0	0	0
sp293	1	0	0	0	0	2	0	0	0
sp294	14	2	5	0	0	0	0	0	0
sp295	14	3	2	10	0	1	0	0	0
sp296	0	0	0	0	0	0	0	0	1
sp297	0	1	0	0	0	0	0	0	0
sp298	0	0	0	0	0	1	0	0	0
sp299	0	0	0	0	0	0	0	0	2
sp300	0	0	0	0	2	0	0	0	1
sp301	3	1	0	0	0	0	0	0	0
sp302	0	0	0	0	0	0	0	1	0
sp303	0	0	0	0	3	0	1	0	0
sp304	0	0	0	0	0	0	0	0	3
sp305	0	0	0	0	0	0	0	0	1
sp306	23	0	0	3	7	5	3	0	0
sp307	0	1	0	0	0	0	0	0	0
sp308	0	1	0	1	2	3	4	8	0
sp309	1	0	0	0	0	0	0	0	0
sp310	1	0	0	0	0	0	0	0	0
sp311	0	0	0	0	0	0	1	0	0
sp312	0	3	0	0	0	1	1	1	0
sp313	0	1	2	0	0	0	0	0	0
sp314	0	0	0	0	1	1	1	0	3
sp315	12	0	1	0	0	0	0	0	0
sp316	0	0	0	0	0	0	1	0	0
sp317	0	1	0	0	2	1	13	1	0
sp318	0	0	0	0	0	1	0	0	0
sp319	5	1	1	1	1	7	1	1	0
sp320	3	1	0	0	0	0	0	0	0
sp321	0	0	0	0	0	0	0	0	1
sp322	0	0	0	0	0	1	0	0	0
sp323	2	0	0	0	0	0	0	0	0
sp324	11	8	0	0	0	1	0	0	0
sp325	0	0	3	2	0	2	0	0	0
sp326	0	1	0	0	0	0	0	0	0
sp327	1	1	1	0	0	0	0	0	0
sp328	0	0	4	0	0	0	0	0	0
sp329	0	0	0	2	0	0	0	0	0
sp330	0	0	0	1	0	1	0	1	1
sp331	2	6	3	2	3	39	3	2	0
sp332	0	0	0	0	5	0	0	0	0
sp333	0	0	0	0	0	0	0	1	0
sp334	0	0	0	0	0	1	0	0	0
sp335	0	0	0	0	0	7	0	0	0
sp336	0	0	0	0	0	2	0	0	0
sp337	0	0	0	0	0	0	0	4	0
sp338	0	0	0	0	0	0	0	0	1
sp339	0	0	0	0	0	0	0	0	1
sp340	1	0	0	0	0	0	0	0	0
sp341	0	4	0	0	0	0	0	0	0
sp342	45	0	0	0	0	0	0	0	0
sp343	0	1	0	4	1	0	0	0	0
sp344	0	0	2	0	0	0	0	0	0
sp345	1	1	3	0	0	11	15	0	0
sp346	7	4	0	1	0	0	0	0	0
sp347	0	0	0	0	1	1	0	0	0
sp348	10	3	0	0	0	0	0	0	0
sp349	0	0	0	0	7	3	0	0	0
sp350	0	0	4	0	0	0	0	0	0
sp351	1	0	0	0	0	0	0	0	0
sp352	0	0	0	0	0	0	0	1	0
sp353	1	0	0	0	0	0	0	0	0
sp354	0	0	0	0	0	1	0	0	0
sp355	1	1	0	0	0	0	0	0	0
sp356	0	0	0	0	0	3	0	0	0
sp357	0	0	0	0	0	0	0	12	0
sp358	0	0	0	0	0	2	1	0	0
sp359	0	0	0	0	0	1	1	6	1
sp360	0	0	0	3	0	1	2	1	0
sp361	1	0	0	0	0	0	0	0	0
sp362	11	0	0	0	0	0	0	0	0
sp363	2	0	0	0	0	0	0	0	0
sp364	0	0	0	0	0	0	0	0	1
sp365	8	0	0	0	0	0	0	0	0
sp366	3	1	1	0	2	5	0	1	0
sp367	0	0	0	0	0	0	1	0	0
sp368	0	0	0	0	0	1	0	0	0
sp369	2	0	0	0	0	1	0	0	0
sp370	0	0	0	0	0	1	0	1	0
sp371	0	1	10	0	0	0	0	0	0
sp372	2	2	0	0	0	0	0	0	0
sp373	0	1	0	0	1	0	0	1	0
sp374	1	1	0	0	0	0	0	0	0
sp375	0	5	0	0	0	0	0	0	0
sp376	3	0	0	0	4	1	0	3	0
sp377	1	0	0	0	1	0	0	0	0
sp378	0	0	11	0	0	0	0	0	0
sp379	0	0	0	0	0	1	0	18	0
sp380	2	0	0	0	0	0	0	0	0
sp381	1	0	0	0	0	0	0	0	0
sp382	1	0	0	0	0	0	0	0	0
sp383	0	0	0	0	0	2	0	4	1
sp384	2	1	0	0	0	0	0	0	0
sp385	6	0	0	0	0	0	0	0	0
sp386	0	0	0	0	0	0	0	1	0
sp387	0	0	0	0	0	0	0	0	2
sp388	6	1	1	0	1	13	0	19	0
sp389	622	100	15	5	0	1	0	0	0
sp390	130	7	35	2	0	2	9	13	0
sp391	27	1	0	0	0	0	0	0	0
sp392	54	0	0	0	0	0	0	0	0
sp393	0	0	1	3	2	2	1	10	1
sp394	0	0	0	0	1	1	1	0	0
sp395	122	11	22	43	54	82	50	89	27
sp396	1	4	3	6	1	10	5	28	0
sp397	116	7	1	2	0	0	1	0	0
sp398	316	47	3	0	1	0	0	0	0
sp399	6	9	0	0	0	0	0	0	0
sp400	300	1	5	0	0	0	0	0	0
sp401	10	1	7	3	28	63	4	266	51
sp402	0	0	0	0	0	5	0	2	2
sp403	46	20	6	4	3	3	3	0	0
sp404	0	1	0	0	5	0	0	0	0
sp405	9	6	0	0	1	3	0	1	0
sp406	13	0	0	0	0	0	0	0	0
sp407	0	0	0	0	1	2	19	2	0
sp408	0	0	0	0	0	16	4	34	29
sp409	1	0	0	1	0	5	3	0	0
sp410	0	0	0	2	1	3	29	6	1
sp411	1	0	0	0	0	0	0	0	0
sp412	32	19	1	1	4	1	0	0	0
sp413	0	0	0	0	0	0	0	1	0
sp414	0	0	0	0	0	0	0	0	5
sp415	0	2	0	9	3	7	24	1	0
sp416	4	7	0	0	0	1	0	0	0
sp417	17	5	0	0	0	0	0	0	0
sp418	106	1	0	1	1	4	0	11	76
sp419	0	0	0	0	0	3	2	1	2
sp420	5	50	0	0	0	0	0	0	0
sp421	0	0	0	0	0	1	0	0	0
sp422	0	0	0	0	0	0	0	0	36
sp423	31	0	0	0	0	0	0	0	0
sp424	0	0	0	0	0	11	0	1	0
sp425	93	0	0	0	2	0	0	0	1
sp426	64	2	16	0	0	0	0	0	0
sp427	41	4	1	1	0	1	0	2	0
sp428	0	2	0	1	2	0	0	1	2
sp429	0	3	1	0	0	0	0	0	0
sp430	0	1	0	0	0	0	0	0	0
sp431	11	13	243	66	25	8	8	0	0
sp432	18	3	1	1	2	2	1	0	0
sp433	2	3	0	0	0	0	0	0	0
sp434	8	0	1	0	0	0	0	1	0
sp435	0	0	0	0	0	0	0	8	0
sp436	29	0	0	0	0	0	0	4	0
sp437	48	0	1	0	1	0	0	0	0
sp438	23	1	4	2	24	17	2	12	5
sp439	0	0	0	0	0	4	0	21	3
sp440	24	0	0	0	0	0	0	0	0
sp441	30	6	6	0	0	0	0	0	0
sp442	0	0	0	0	0	21	0	2	0
sp443	21	0	0	0	0	0	0	0	0
sp444	8	3	0	0	14	12	0	8	0
sp445	0	1	0	0	0	0	0	0	0
sp446	8	0	0	0	0	0	0	0	0
sp447	0	0	0	0	0	0	0	1	5
sp448	2	1	5	36	10	3	105	7	0
sp449	2	59	0	0	0	0	0	0	0
sp450	0	0	1	13	0	7	4	2	0
sp451	0	6	4	2	0	4	0	54	0
sp452	1	0	0	0	0	0	2	1	0
sp453	1	0	0	0	0	0	0	0	0
sp454	8	0	0	1	0	2	2	2	0
sp455	1	4	0	0	0	10	0	1	2
sp456	0	0	0	0	2	1	0	1	0
sp457	1	0	0	0	0	0	0	0	0
sp458	8	0	10	0	0	2	0	0	0
sp459	10	0	0	1	2	7	2	3	3
sp460	0	1	0	0	0	0	0	0	0
sp461	0	0	5	0	0	0	0	0	0
sp462	7	0	1	0	0	0	0	0	0
sp463	4	0	0	0	0	0	0	0	0
sp464	0	0	0	0	0	0	0	0	4
sp465	0	0	0	0	55	0	0	0	0
sp466	2	2	0	0	0	11	0	2	2
sp467	8	0	3	0	0	2	0	0	0
sp468	46	2	1	0	2	45	2	29	0
sp469	2	0	5	1	4	2	4	0	0
sp470	0	112	0	0	0	0	0	3	0
sp471	2	0	0	3	12	17	0	1	2
sp472	4	11	0	0	0	0	0	0	0
sp473	11	1	0	0	0	0	0	0	0
sp474	11	0	0	0	0	3	0	2	0
sp475	4	0	2	0	16	16	5	11	0
sp476	2	23	0	0	0	0	0	0	0
sp477	7	4	1	0	0	0	0	0	0
sp478	14	3	5	0	1	0	0	2	0
sp479	21	7	0	0	0	0	0	0	0
sp480	16	18	1	0	3	5	1	4	2
sp481	0	0	0	0	0	0	0	0	2
sp482	21	1	1	0	0	0	0	0	0
sp483	0	0	0	1	0	8	0	19	3
sp484	0	0	0	0	3	0	0	1	0
sp485	8	3	0	0	0	0	0	0	0
sp486	21	2	3	0	0	1	0	0	0
sp487	2	1	0	0	0	1	0	0	0
sp488	3	0	2	0	0	0	0	0	0
sp489	0	0	0	0	0	0	1	6	11
sp490	0	0	0	0	3	0	0	4	0
sp491	14	0	1	0	1	0	0	0	0
sp492	79	37	37	0	0	0	0	0	0
sp493	1	2	81	0	6	2	0	0	0
sp494	60	28	188	13	2	1	0	0	0
sp495	1	1	0	0	0	3	0	42	13
sp496	0	3	2	1	7	39	10	24	13
sp497	40	1	0	0	0	5	0	0	0
sp498	46	3	2	0	2	6	0	0	0
sp499	0	0	0	0	0	0	0	0	5
sp500	1	2	0	0	0	0	15	0	0
sp501	7	1	1	0	0	0	0	0	0
sp502	14	0	0	6	2	1	0	7	0
sp503	0	0	0	11	21	45	33	84	282
sp504	15	4	3	4	0	17	3	11	1
sp505	43	14	125	20	0	12	5	0	5
sp506	0	0	0	0	0	0	0	4	0
sp507	1	2	0	0	0	2	0	0	0
sp508	0	0	0	0	3	0	3	0	0
sp509	0	3	1	0	1	2	2	3	0
sp510	41	0	0	0	0	0	0	0	0
sp511	0	0	0	0	0	0	0	1	0
sp512	0	6	0	0	0	0	0	0	0
sp513	0	0	0	2	0	2	5	0	1
sp514	0	0	0	0	0	3	0	1	14
sp515	119	9	11	0	0	0	0	0	0
sp516	30	8	0	0	0	1	0	0	0
sp517	98	2	22	1	1	6	0	0	0
sp518	6	0	0	1	1	0	1	0	0
sp519	0	4	0	0	0	0	7	0	0
sp520	1	3	0	0	0	0	0	0	0
sp521	6	0	0	0	0	0	0	0	0
sp522	0	0	0	0	1	8	0	2	0
sp523	0	2	0	0	1	2	0	0	2
sp524	21	0	0	0	0	0	0	0	0
sp525	0	0	0	1	10	4	0	18	1
sp526	1	0	0	3	1	25	0	7	0
sp527	13	1	0	2	0	0	0	0	0
sp528	0	0	0	0	1	0	0	0	0
sp529	7	20	5	0	0	0	0	1	0
sp530	0	0	0	0	0	3	1	8	2
sp531	0	5	3	0	0	0	0	0	0
sp532	12	16	15	0	4	26	22	19	0
sp533	0	1	0	0	3	1	0	1	0
sp534	1	0	0	0	1	2	1	3	0
sp535	10	1	1	0	0	0	0	0	0
sp536	0	1	0	5	1	7	6	1	0
sp537	3	2	0	65	1	9	0	0	0
sp538	17	2	1	1	0	12	1	1	0
sp539	0	0	0	3	5	8	17	0	0
sp540	0	0	1	0	1	3	1	1	0
sp541	2	0	0	0	0	0	0	0	0
sp542	0	0	0	0	0	0	0	5	15
sp543	7	0	0	0	0	0	0	0	0
sp544	8	0	0	0	0	0	0	0	0
sp545	0	3	2	8	0	5	0	0	0
sp546	0	0	0	0	0	0	0	1	0
sp547	0	0	0	1	0	2	1	0	0
sp548	4	0	1	0	0	0	0	0	0
sp549	2	1	0	1	0	0	0	2	0
